,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
47349,2021-07-13,Suffolk,Chelsea,Total,36918.0,27848.0,23913.0,,,3935.0
50038,2021-07-20,Suffolk,Chelsea,12-15 Years,1768.0,1206.0,944.0,,,262.0
50039,2021-07-20,Suffolk,Chelsea,16-19 Years,1762.0,1541.0,1232.0,,,309.0
50040,2021-07-20,Suffolk,Chelsea,20-29 Years,6170.0,4744.0,3938.0,,,806.0
50041,2021-07-20,Suffolk,Chelsea,30-49 Years,11744.0,11131.0,9511.0,,,1620.0
50042,2021-07-20,Suffolk,Chelsea,50-64 Years,5861.0,6010.0,5343.0,,,667.0
50043,2021-07-20,Suffolk,Chelsea,65-74 Years,2092.0,2117.0,1956.0,,,161.0
50044,2021-07-20,Suffolk,Chelsea,75+ Years,1471.0,1428.0,1278.0,,,150.0
50045,2021-07-20,Suffolk,Chelsea,Total,36918.0,28178.0,24202.0,,,3976.0
52734,2021-07-27,Suffolk,Chelsea,12-15 Years,1768.0,1288.0,980.0,,,308.0
52735,2021-07-27,Suffolk,Chelsea,16-19 Years,1762.0,1572.0,1248.0,,,324.0
52736,2021-07-27,Suffolk,Chelsea,20-29 Years,6170.0,4811.0,3998.0,,,813.0
52737,2021-07-27,Suffolk,Chelsea,30-49 Years,11744.0,11279.0,9600.0,,,1679.0
52738,2021-07-27,Suffolk,Chelsea,50-64 Years,5861.0,6039.0,5366.0,,,673.0
52739,2021-07-27,Suffolk,Chelsea,65-74 Years,2092.0,2122.0,1957.0,,,165.0
52740,2021-07-27,Suffolk,Chelsea,75+ Years,1471.0,1430.0,1282.0,,,148.0
52741,2021-07-27,Suffolk,Chelsea,Total,36918.0,28542.0,24431.0,,,4111.0
55430,2021-08-03,Suffolk,Chelsea,12-15 Years,1768.0,1383.0,1018.0,,,365.0
55431,2021-08-03,Suffolk,Chelsea,16-19 Years,1762.0,1606.0,1271.0,,,335.0
55432,2021-08-03,Suffolk,Chelsea,20-29 Years,6170.0,4904.0,4062.0,,,842.0
55433,2021-08-03,Suffolk,Chelsea,30-49 Years,11744.0,11410.0,9689.0,,,1721.0
55434,2021-08-03,Suffolk,Chelsea,50-64 Years,5861.0,6069.0,5387.0,,,682.0
55435,2021-08-03,Suffolk,Chelsea,65-74 Years,2092.0,2129.0,1968.0,,,161.0
55436,2021-08-03,Suffolk,Chelsea,75+ Years,1471.0,1429.0,1287.0,,,142.0
55437,2021-08-03,Suffolk,Chelsea,Total,36918.0,28931.0,24682.0,,,4249.0
58126,2021-08-10,Suffolk,Chelsea,12-15 Years,1768.0,1447.0,1069.0,,,378.0
58127,2021-08-10,Suffolk,Chelsea,16-19 Years,1762.0,1656.0,1298.0,,,358.0
58128,2021-08-10,Suffolk,Chelsea,20-29 Years,6170.0,5018.0,4125.0,,,893.0
58129,2021-08-10,Suffolk,Chelsea,30-49 Years,11744.0,11572.0,9786.0,,,1786.0
58130,2021-08-10,Suffolk,Chelsea,50-64 Years,5861.0,6116.0,5417.0,,,699.0
58131,2021-08-10,Suffolk,Chelsea,65-74 Years,2092.0,2137.0,1976.0,,,161.0
58132,2021-08-10,Suffolk,Chelsea,75+ Years,1471.0,1433.0,1291.0,,,142.0
58133,2021-08-10,Suffolk,Chelsea,Total,36918.0,29380.0,24962.0,,,4418.0
60822,2021-08-17,Suffolk,Chelsea,12-15 Years,1768.0,1507.0,1142.0,,,365.0
60823,2021-08-17,Suffolk,Chelsea,16-19 Years,1762.0,1678.0,1328.0,,,350.0
60824,2021-08-17,Suffolk,Chelsea,20-29 Years,6170.0,5116.0,4184.0,,,932.0
60825,2021-08-17,Suffolk,Chelsea,30-49 Years,11744.0,11668.0,9898.0,,,1770.0
60826,2021-08-17,Suffolk,Chelsea,50-64 Years,5861.0,6154.0,5441.0,,,713.0
60827,2021-08-17,Suffolk,Chelsea,65-74 Years,2092.0,2140.0,1974.0,,,166.0
60828,2021-08-17,Suffolk,Chelsea,75+ Years,1471.0,1437.0,1293.0,,,144.0
60829,2021-08-17,Suffolk,Chelsea,Total,36918.0,29701.0,25260.0,,,4441.0
63518,2021-08-24,Suffolk,Chelsea,12-15 Years,1768.0,1559.0,1220.0,,,339.0
63519,2021-08-24,Suffolk,Chelsea,16-19 Years,1762.0,1695.0,1359.0,,,336.0
63520,2021-08-24,Suffolk,Chelsea,20-29 Years,6170.0,5175.0,4239.0,,,936.0
63521,2021-08-24,Suffolk,Chelsea,30-49 Years,11744.0,11756.0,9994.0,,,1762.0
63522,2021-08-24,Suffolk,Chelsea,50-64 Years,5861.0,6182.0,5455.0,,,727.0
63523,2021-08-24,Suffolk,Chelsea,65-74 Years,2092.0,2146.0,1982.0,,,164.0
63524,2021-08-24,Suffolk,Chelsea,75+ Years,1471.0,1437.0,1292.0,,,145.0
63525,2021-08-24,Suffolk,Chelsea,Total,36918.0,29951.0,25541.0,,,4410.0
66214,2021-08-31,Suffolk,Chelsea,12-15 Years,1768.0,1609.0,1290.0,,,319.0
66215,2021-08-31,Suffolk,Chelsea,16-19 Years,1762.0,1714.0,1391.0,,,323.0
66216,2021-08-31,Suffolk,Chelsea,20-29 Years,6170.0,5235.0,4325.0,,,910.0
66217,2021-08-31,Suffolk,Chelsea,30-49 Years,11744.0,11860.0,10120.0,,,1740.0
66218,2021-08-31,Suffolk,Chelsea,50-64 Years,5861.0,6213.0,5490.0,,,723.0
66219,2021-08-31,Suffolk,Chelsea,65-74 Years,2092.0,2145.0,1992.0,,,153.0
66220,2021-08-31,Suffolk,Chelsea,75+ Years,1471.0,1440.0,1294.0,,,146.0
66221,2021-08-31,Suffolk,Chelsea,Total,36918.0,30217.0,25902.0,,,4315.0
68910,2021-09-07,Suffolk,Chelsea,12-15 Years,1768.0,1630.0,1328.0,,,302.0
68911,2021-09-07,Suffolk,Chelsea,16-19 Years,1762.0,1735.0,1408.0,,,327.0
68912,2021-09-07,Suffolk,Chelsea,20-29 Years,6170.0,5289.0,4391.0,,,898.0
68913,2021-09-07,Suffolk,Chelsea,30-49 Years,11744.0,11904.0,10201.0,,,1703.0
68914,2021-09-07,Suffolk,Chelsea,50-64 Years,5861.0,6249.0,5522.0,,,727.0
68915,2021-09-07,Suffolk,Chelsea,65-74 Years,2092.0,2141.0,1994.0,,,147.0
68916,2021-09-07,Suffolk,Chelsea,75+ Years,1471.0,1443.0,1298.0,,,145.0
68917,2021-09-07,Suffolk,Chelsea,Total,36918.0,30392.0,26142.0,,,4250.0
71606,2021-09-14,Suffolk,Chelsea,12-15 Years,1768.0,1649.0,1379.0,,,270.0
71607,2021-09-14,Suffolk,Chelsea,16-19 Years,1762.0,1747.0,1423.0,,,324.0
71608,2021-09-14,Suffolk,Chelsea,20-29 Years,6170.0,5347.0,4438.0,,,909.0
71609,2021-09-14,Suffolk,Chelsea,30-49 Years,11744.0,11990.0,10279.0,,,1711.0
71610,2021-09-14,Suffolk,Chelsea,50-64 Years,5861.0,6268.0,5553.0,,,715.0
71611,2021-09-14,Suffolk,Chelsea,65-74 Years,2092.0,2153.0,2003.0,,,150.0
71612,2021-09-14,Suffolk,Chelsea,75+ Years,1471.0,1446.0,1301.0,,,145.0
71613,2021-09-14,Suffolk,Chelsea,Total,36918.0,30601.0,26376.0,,,4225.0
74302,2021-09-21,Suffolk,Chelsea,12-15 Years,1768.0,1670.0,1413.0,,,257.0
