,date,county,city,race,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
90415,2021-09-28,Suffolk,Revere,Asian,3428.0,2543.0,2365.0,,,178.0
90416,2021-09-28,Suffolk,Revere,Black,3713.0,2031.0,1777.0,,,254.0
90417,2021-09-28,Suffolk,Revere,Hispanic,24756.0,15856.0,14075.0,,,1781.0
90418,2021-09-28,Suffolk,Revere,Multi,582.0,793.0,738.0,,,55.0
90419,2021-09-28,Suffolk,Revere,NH/PI,11.0,49.0,42.0,,,
90420,2021-09-28,Suffolk,Revere,White,28857.0,19138.0,17522.0,,,1616.0
90421,2021-09-28,Suffolk,Revere,Other/Unknown,,5174.0,4050.0,,,1124.0
90422,2021-09-28,Suffolk,Revere,Total,60849.0,45633.0,40612.0,,,
93447,2021-10-05,Suffolk,Revere,AI/AN,55.0,50.0,44.0,,,
93448,2021-10-05,Suffolk,Revere,Asian,3428.0,2538.0,2361.0,,,177.0
93449,2021-10-05,Suffolk,Revere,Black,3713.0,2054.0,1799.0,,,255.0
93450,2021-10-05,Suffolk,Revere,Hispanic,24756.0,15961.0,14169.0,,,1792.0
93451,2021-10-05,Suffolk,Revere,Multi,582.0,812.0,761.0,,,51.0
93452,2021-10-05,Suffolk,Revere,NH/PI,11.0,48.0,45.0,,,
93453,2021-10-05,Suffolk,Revere,White,28857.0,19299.0,17678.0,,,1621.0
93454,2021-10-05,Suffolk,Revere,Other/Unknown,,5151.0,4026.0,,,1125.0
93455,2021-10-05,Suffolk,Revere,Total,60849.0,45913.0,40883.0,,,
96480,2021-10-12,Suffolk,Revere,AI/AN,55.0,46.0,39.0,,,
96481,2021-10-12,Suffolk,Revere,Asian,3428.0,2549.0,2369.0,,,180.0
96482,2021-10-12,Suffolk,Revere,Black,3713.0,2078.0,1839.0,,,239.0
96483,2021-10-12,Suffolk,Revere,Hispanic,24756.0,16078.0,14305.0,,,1773.0
96484,2021-10-12,Suffolk,Revere,Multi,582.0,829.0,781.0,,,48.0
96485,2021-10-12,Suffolk,Revere,NH/PI,11.0,48.0,45.0,,,
96486,2021-10-12,Suffolk,Revere,White,28857.0,19431.0,17811.0,,,1620.0
96487,2021-10-12,Suffolk,Revere,Other/Unknown,,5108.0,3996.0,,,1112.0
96488,2021-10-12,Suffolk,Revere,Total,60849.0,46167.0,41185.0,,,
99513,2021-10-19,Suffolk,Revere,AI/AN,55.0,47.0,39.0,,,8.0
99514,2021-10-19,Suffolk,Revere,Asian,3428.0,2569.0,2392.0,,,177.0
99515,2021-10-19,Suffolk,Revere,Black,3713.0,2096.0,1852.0,,,244.0
99516,2021-10-19,Suffolk,Revere,Hispanic,24756.0,16169.0,14386.0,,,1783.0
99517,2021-10-19,Suffolk,Revere,Multi,582.0,845.0,796.0,,,49.0
99518,2021-10-19,Suffolk,Revere,NH/PI,11.0,,,,,
99519,2021-10-19,Suffolk,Revere,White,28857.0,19569.0,17931.0,,,1638.0
99520,2021-10-19,Suffolk,Revere,Other/Unknown,,5078.0,3964.0,,,1114.0
99521,2021-10-19,Suffolk,Revere,Total,60849.0,,,,,
102546,2021-10-26,Suffolk,Revere,AI/AN,55.0,47.0,39.0,,,8.0
102547,2021-10-26,Suffolk,Revere,Asian,3428.0,2589.0,2408.0,,,181.0
102548,2021-10-26,Suffolk,Revere,Black,3713.0,2095.0,1857.0,,,238.0
102549,2021-10-26,Suffolk,Revere,Hispanic,24756.0,16263.0,14474.0,,,1789.0
102550,2021-10-26,Suffolk,Revere,Multi,582.0,868.0,816.0,,,52.0
102551,2021-10-26,Suffolk,Revere,NH/PI,11.0,,,,,
102552,2021-10-26,Suffolk,Revere,White,28857.0,19724.0,18025.0,,,1699.0
102553,2021-10-26,Suffolk,Revere,Other/Unknown,,5069.0,3945.0,,,1124.0
102554,2021-10-26,Suffolk,Revere,Total,60849.0,,,,,
105579,2021-11-02,Suffolk,Revere,AI/AN,55.0,46.0,39.0,,,7.0
105580,2021-11-02,Suffolk,Revere,Asian,3428.0,2605.0,2418.0,,,187.0
105581,2021-11-02,Suffolk,Revere,Black,3713.0,2105.0,1874.0,,,231.0
105582,2021-11-02,Suffolk,Revere,Hispanic,24756.0,16370.0,14545.0,,,1825.0
105583,2021-11-02,Suffolk,Revere,Multi,582.0,891.0,832.0,,,59.0
105584,2021-11-02,Suffolk,Revere,NH/PI,11.0,,,,,
105585,2021-11-02,Suffolk,Revere,White,28857.0,19927.0,18120.0,,,1807.0
105586,2021-11-02,Suffolk,Revere,Other/Unknown,,5032.0,3911.0,,,1121.0
105587,2021-11-02,Suffolk,Revere,Total,60849.0,,,,,
108612,2021-11-09,Suffolk,Revere,AI/AN,55.0,46.0,37.0,,,9.0
108613,2021-11-09,Suffolk,Revere,Asian,3428.0,2620.0,2414.0,,,206.0
108614,2021-11-09,Suffolk,Revere,Black,3713.0,2120.0,1886.0,,,234.0
108615,2021-11-09,Suffolk,Revere,Hispanic,24756.0,16528.0,14641.0,,,1887.0
108616,2021-11-09,Suffolk,Revere,Multi,582.0,913.0,849.0,,,64.0
108617,2021-11-09,Suffolk,Revere,NH/PI,11.0,,,,,
108618,2021-11-09,Suffolk,Revere,White,28857.0,20160.0,18235.0,,,1925.0
108619,2021-11-09,Suffolk,Revere,Other/Unknown,,5009.0,3870.0,,,1139.0
108620,2021-11-09,Suffolk,Revere,Total,60849.0,,,,,
111645,2021-11-16,Suffolk,Revere,AI/AN,55.0,49.0,40.0,,,9.0
111646,2021-11-16,Suffolk,Revere,Asian,3428.0,2661.0,2417.0,,,244.0
111647,2021-11-16,Suffolk,Revere,Black,3713.0,2154.0,1916.0,,,238.0
111648,2021-11-16,Suffolk,Revere,Hispanic,24756.0,16715.0,14733.0,,,1982.0
111649,2021-11-16,Suffolk,Revere,Multi,582.0,946.0,874.0,,,72.0
111650,2021-11-16,Suffolk,Revere,NH/PI,11.0,,,,,
111651,2021-11-16,Suffolk,Revere,White,28857.0,20467.0,18451.0,,,2016.0
111652,2021-11-16,Suffolk,Revere,Other/Unknown,,5006.0,3866.0,,,1140.0
111653,2021-11-16,Suffolk,Revere,Total,60849.0,,,,,
114678,2021-11-23,Suffolk,Revere,AI/AN,55.0,50.0,40.0,,,10.0
114679,2021-11-23,Suffolk,Revere,Asian,3428.0,2717.0,2431.0,,,286.0
114680,2021-11-23,Suffolk,Revere,Black,3713.0,2174.0,1920.0,,,254.0
114681,2021-11-23,Suffolk,Revere,Hispanic,24756.0,16964.0,14828.0,,,2136.0
114682,2021-11-23,Suffolk,Revere,Multi,582.0,974.0,888.0,,,86.0
114683,2021-11-23,Suffolk,Revere,NH/PI,11.0,,,,,
114684,2021-11-23,Suffolk,Revere,White,28857.0,20735.0,18520.0,,,2215.0
114685,2021-11-23,Suffolk,Revere,Other/Unknown,,5025.0,3847.0,,,1178.0
114686,2021-11-23,Suffolk,Revere,Total,60849.0,,,,,
117711,2021-11-30,Suffolk,Revere,AI/AN,55.0,51.0,42.0,,,9.0
117712,2021-11-30,Suffolk,Revere,Asian,3428.0,2745.0,2444.0,,,301.0
117713,2021-11-30,Suffolk,Revere,Black,3713.0,2184.0,1928.0,,,256.0
