,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
39266,2021-06-22,Suffolk,Revere,50-64 Years,12184.0,9502.0,8537.0,,,965.0
39267,2021-06-22,Suffolk,Revere,65-74 Years,5047.0,4188.0,3868.0,,,320.0
39268,2021-06-22,Suffolk,Revere,75+ Years,4312.0,3095.0,2717.0,,,378.0
39269,2021-06-22,Suffolk,Revere,Total,60849.0,40382.0,35070.0,,,5312.0
41958,2021-06-29,Suffolk,Revere,12-15 Years,2613.0,1458.0,1102.0,,,356.0
41959,2021-06-29,Suffolk,Revere,16-19 Years,2844.0,1936.0,1616.0,,,320.0
41960,2021-06-29,Suffolk,Revere,20-29 Years,8303.0,6157.0,5229.0,,,928.0
41961,2021-06-29,Suffolk,Revere,30-49 Years,17705.0,14399.0,12683.0,,,1716.0
41962,2021-06-29,Suffolk,Revere,50-64 Years,12184.0,9591.0,8653.0,,,938.0
41963,2021-06-29,Suffolk,Revere,65-74 Years,5047.0,4209.0,3888.0,,,321.0
41964,2021-06-29,Suffolk,Revere,75+ Years,4312.0,3101.0,2723.0,,,378.0
41965,2021-06-29,Suffolk,Revere,Total,60849.0,40851.0,35894.0,,,4957.0
44654,2021-07-06,Suffolk,Revere,12-15 Years,2613.0,1495.0,1186.0,,,309.0
44655,2021-07-06,Suffolk,Revere,16-19 Years,2844.0,1975.0,1665.0,,,310.0
44656,2021-07-06,Suffolk,Revere,20-29 Years,8303.0,6242.0,5341.0,,,901.0
44657,2021-07-06,Suffolk,Revere,30-49 Years,17705.0,14540.0,12875.0,,,1665.0
44658,2021-07-06,Suffolk,Revere,50-64 Years,12184.0,9644.0,8725.0,,,919.0
44659,2021-07-06,Suffolk,Revere,65-74 Years,5047.0,4226.0,3911.0,,,315.0
44660,2021-07-06,Suffolk,Revere,75+ Years,4312.0,3105.0,2726.0,,,379.0
44661,2021-07-06,Suffolk,Revere,Total,60849.0,41227.0,36429.0,,,4798.0
47350,2021-07-13,Suffolk,Revere,12-15 Years,2613.0,1552.0,1261.0,,,291.0
47351,2021-07-13,Suffolk,Revere,16-19 Years,2844.0,2013.0,1705.0,,,308.0
47352,2021-07-13,Suffolk,Revere,20-29 Years,8303.0,6332.0,5446.0,,,886.0
47353,2021-07-13,Suffolk,Revere,30-49 Years,17705.0,14692.0,13030.0,,,1662.0
