date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-03-23,Middlesex,Newton,50-64 Years,17494,8149,4459,,,3690
2021-03-23,Middlesex,Newton,65-74 Years,9938,8911,5040,,,3871
2021-03-23,Middlesex,Newton,75+ Years,7438,7086,6103,,,983
2021-03-23,Middlesex,Newton,Total,91690,34329,21408,,,12921
2021-03-23,Norfolk,Wellesley,0-19 Years,9572,114,41,,,73
2021-03-23,Norfolk,Wellesley,20-29 Years,4462,503,229,,,274
2021-03-23,Norfolk,Wellesley,30-49 Years,5413,1504,805,,,699
2021-03-23,Norfolk,Wellesley,50-64 Years,5510,2074,946,,,1128
2021-03-23,Norfolk,Wellesley,65-74 Years,2621,2004,984,,,1020
2021-03-23,Norfolk,Wellesley,75+ Years,2135,2000,1723,,,277
2021-03-23,Norfolk,Wellesley,Total,29713,8199,4728,,,3471
2021-03-30,Suffolk,Chelsea,0-19 Years,9581,91,39,,,52
2021-03-30,Suffolk,Chelsea,20-29 Years,6170,1053,589,,,464
2021-03-30,Suffolk,Chelsea,30-49 Years,11744,2991,1610,,,1381
2021-03-30,Suffolk,Chelsea,50-64 Years,5861,2471,1330,,,1141
2021-03-30,Suffolk,Chelsea,65-74 Years,2092,1626,1117,,,509
2021-03-30,Suffolk,Chelsea,75+ Years,1471,1226,1043,,,183
2021-03-30,Suffolk,Chelsea,Total,36918,9458,5728,,,3730
2021-03-30,Suffolk,Revere,0-19 Years,13297,214,77,,,137
2021-03-30,Suffolk,Revere,20-29 Years,8303,1557,795,,,762
2021-03-30,Suffolk,Revere,30-49 Years,17705,4616,2383,,,2233
2021-03-30,Suffolk,Revere,50-64 Years,12184,4782,2528,,,2254
2021-03-30,Suffolk,Revere,65-74 Years,5047,3450,2416,,,1034
2021-03-30,Suffolk,Revere,75+ Years,4312,2822,2272,,,550
2021-03-30,Suffolk,Revere,Total,60849,17441,10471,,,6970
2021-03-30,Middlesex,Newton,0-19 Years,24626,727,189,,,538
2021-03-30,Middlesex,Newton,20-29 Years,12487,2986,1455,,,1531
2021-03-30,Middlesex,Newton,30-49 Years,19706,8630,4869,,,3761
2021-03-30,Middlesex,Newton,50-64 Years,17494,10106,5198,,,4908
2021-03-30,Middlesex,Newton,65-74 Years,9938,9449,6762,,,2687
2021-03-30,Middlesex,Newton,75+ Years,7438,7228,6273,,,955
2021-03-30,Middlesex,Newton,Total,91690,39126,24746,,,14380
2021-03-30,Norfolk,Wellesley,0-19 Years,9572,236,50,,,186
2021-03-30,Norfolk,Wellesley,20-29 Years,4462,717,271,,,446
2021-03-30,Norfolk,Wellesley,30-49 Years,5413,1824,917,,,907
2021-03-30,Norfolk,Wellesley,50-64 Years,5510,2797,1139,,,1658
2021-03-30,Norfolk,Wellesley,65-74 Years,2621,2081,1423,,,658
2021-03-30,Norfolk,Wellesley,75+ Years,2135,2010,1746,,,264
2021-03-30,Norfolk,Wellesley,Total,29713,9665,5546,,,4119
2021-04-06,Suffolk,Chelsea,0-19 Years,9581,148,49,,,99
2021-04-06,Suffolk,Chelsea,20-29 Years,6170,1382,678,,,704
2021-04-06,Suffolk,Chelsea,30-49 Years,11744,3758,1843,,,1915
2021-04-06,Suffolk,Chelsea,50-64 Years,5861,3027,1527,,,1500
2021-04-06,Suffolk,Chelsea,65-74 Years,2092,1727,1236,,,491
2021-04-06,Suffolk,Chelsea,75+ Years,1471,1253,1063,,,190
2021-04-06,Suffolk,Chelsea,Total,36918,11295,6396,,,4899
2021-04-06,Suffolk,Revere,0-19 Years,13297,310,92,,,218
2021-04-06,Suffolk,Revere,20-29 Years,8303,2076,929,,,1147
2021-04-06,Suffolk,Revere,30-49 Years,17705,5996,2747,,,3249
2021-04-06,Suffolk,Revere,50-64 Years,12184,5686,2862,,,2824
2021-04-06,Suffolk,Revere,65-74 Years,5047,3594,2677,,,917
2021-04-06,Suffolk,Revere,75+ Years,4312,2873,2330,,,543
2021-04-06,Suffolk,Revere,Total,60849,20535,11637,,,8898
2021-04-06,Middlesex,Newton,0-19 Years,24626,1259,238,,,1021
2021-04-06,Middlesex,Newton,20-29 Years,12487,3796,1710,,,2086
2021-04-06,Middlesex,Newton,30-49 Years,19706,10342,5703,,,4639
2021-04-06,Middlesex,Newton,50-64 Years,17494,12036,6090,,,5946
2021-04-06,Middlesex,Newton,65-74 Years,9938,9701,7791,,,1910
2021-04-06,Middlesex,Newton,75+ Years,7438,7284,6390,,,894
2021-04-06,Middlesex,Newton,Total,91690,44418,27922,,,16496
2021-04-06,Norfolk,Wellesley,0-19 Years,9572,467,77,,,390
2021-04-06,Norfolk,Wellesley,20-29 Years,4462,1014,339,,,675
2021-04-06,Norfolk,Wellesley,30-49 Years,5413,2306,1114,,,1192
2021-04-06,Norfolk,Wellesley,50-64 Years,5510,3497,1466,,,2031
2021-04-06,Norfolk,Wellesley,65-74 Years,2621,2124,1678,,,446
2021-04-06,Norfolk,Wellesley,75+ Years,2135,2026,1811,,,215
2021-04-06,Norfolk,Wellesley,Total,29713,11434,6485,,,4949
2021-04-13,Suffolk,Chelsea,0-19 Years,9581,307,76,,,231
2021-04-13,Suffolk,Chelsea,20-29 Years,6170,1904,924,,,980
2021-04-13,Suffolk,Chelsea,30-49 Years,11744,5100,2485,,,2615
2021-04-13,Suffolk,Chelsea,50-64 Years,5861,3795,1974,,,1821
2021-04-13,Suffolk,Chelsea,65-74 Years,2092,1799,1421,,,378
2021-04-13,Suffolk,Chelsea,75+ Years,1471,1273,1111,,,162
2021-04-13,Suffolk,Chelsea,Total,36918,14178,7991,,,6187
2021-04-13,Suffolk,Revere,0-19 Years,13297,471,139,,,332
2021-04-13,Suffolk,Revere,20-29 Years,8303,2703,1235,,,1468
2021-04-13,Suffolk,Revere,30-49 Years,17705,7586,3742,,,3844
2021-04-13,Suffolk,Revere,50-64 Years,12184,6649,3826,,,2823
2021-04-13,Suffolk,Revere,65-74 Years,5047,3718,2994,,,724
2021-04-13,Suffolk,Revere,75+ Years,4312,2926,2429,,,497
2021-04-13,Suffolk,Revere,Total,60849,24053,14365,,,9688
2021-04-13,Middlesex,Newton,0-19 Years,24626,1914,432,,,1482
2021-04-13,Middlesex,Newton,20-29 Years,12487,4785,2180,,,2605
2021-04-13,Middlesex,Newton,30-49 Years,19706,12743,7054,,,5689
2021-04-13,Middlesex,Newton,50-64 Years,17494,14201,7602,,,6599
2021-04-13,Middlesex,Newton,65-74 Years,9938,9867,8372,,,1495
2021-04-13,Middlesex,Newton,75+ Years,7438,7343,6544,,,799
2021-04-13,Middlesex,Newton,Total,91690,50853,32184,,,18669
2021-04-13,Norfolk,Wellesley,0-19 Years,9572,696,123,,,573
2021-04-13,Norfolk,Wellesley,20-29 Years,4462,1364,483,,,881
2021-04-13,Norfolk,Wellesley,30-49 Years,5413,3055,1478,,,1577
2021-04-13,Norfolk,Wellesley,50-64 Years,5510,4377,1894,,,2483
2021-04-13,Norfolk,Wellesley,65-74 Years,2621,2141,1818,,,323
2021-04-13,Norfolk,Wellesley,75+ Years,2135,2036,1845,,,191
2021-04-13,Norfolk,Wellesley,Total,29713,13669,7641,,,6028
